,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
586,"Dothan City PUMA, AL",38781.14747305645,"Buyers & purchasing agents, farm products",396120.9444444445,48470.9709357977,5.436788292579025
938,"Hesperia City & Apple Valley Town PUMA, CA",38752.32454452132,Chief executives & legislators,368840.66968325793,141283.83645852594,4.852957101945463
1434,"Morgan, Putnam & Brown Counties PUMA, IN",38748.9524063952,"Lawyers, & judges, magistrates, & other judicial workers",417395.9583333333,124478.50814810928,4.950986559965304
2238,"Warren & Center Line Cities PUMA, MI",38743.738189404095,Architectural & engineering managers,303586.3791821561,134098.2588754237,4.929437675188391
2229,"Walker, Catoosa, Chattooga & Dade Counties PUMA, GA",38728.12418351186,Computer & information systems managers,477168.6896551724,102527.2721576413,5.013607888058503
39,"Anaheim City (West) PUMA, CA",38725.882426851385,"Lawyers, & judges, magistrates, & other judicial workers",192539.61616161617,124478.50814810928,5.039529623617737
2025,"Southeast Utah & Uintah Basin Region PUMA, UT",38703.43856210089,Other financial specialists,425500.7536231884,98080.72862112064,5.116844475730574
2132,"Tamarac, Oakland Park & North Lauderdale Cities PUMA, FL",38699.90923278187,Physician assistants,482234.2033898305,92251.10058815022,5.127851499357234
680,"Escambia County (South) PUMA, FL",38686.02447865574,Purchasing managers,482234.2,74013.09656763387,5.134663874032335
1792,"Rapides & Vernon Parishes PUMA, LA",38685.09637034571,"Miscellaneous extraction workers, including roof bolters & helpers",393081.64,46908.093319714535,5.2198744391792555
544,"DeSoto CountySouthaven City PUMA, MS",38680.174978988405,Chief executives & legislators,267019.012195122,141283.83645852594,5.204868578603329
568,"Deschutes County PUMA, OR",38677.99126169277,Budget analysts,413343.5714285714,69666.63007916698,5.0363262767505175
1591,"Omaha City (Southeast) PUMA, NE",38676.7829421771,Architectural & engineering managers,435631.72294372297,134098.2588754237,4.8038971425323505
526,"Darke, Shelby & Preble Counties PUMA, OH",38671.678688086184,Dentists,437657.90476190473,127707.80053807772,5.167844663852697
441,"Cole, Callaway, Moniteau & Osage Counties PUMA, MO",38651.948515524455,Sales managers,202619.41666666663,106611.873312147,5.212183176217876
116,"Bastrop, Caldwell, Fayette & Lee Counties PUMA, TX",38651.707840036855,Chief executives & legislators,202619.4,141283.83645852594,5.147962150322484
1963,"Sheboygan County PUMA, WI",38651.60315556196,"Doortodoor sales workers, news & street vendors, & related workers",194514.62857142856,12001.064758249571,5.031048635789098
1162,"Lafayette & West Lafayette Cities PUMA, IN",38637.00770459928,Personal financial advisors,417395.9705882353,110943.36940078795,5.015345201315501
82,"Aurora City (North Central) PUMA, CO",38626.93982042779,Dentists,202619.40277777775,127707.80053807772,5.0913061345067065
4,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA, IL",38624.73984150017,Physicians,389976.9861751152,206831.79290917717,5.1454457241054214
2095,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA, NY",38623.31086641482,Physicians,668644.0,206831.79290917717,5.1578548211075
2287,"West Columbia, Cayce Cities, Irmo Town & Seven Oaks PUMA, SC",38612.54537212315,Physicians,281083.75,206831.79290917717,5.148262496357531
565,"Denver City (Southwest) PUMA, CO",38611.80693904586,Landscape architects,151964.54054054053,52836.31464534281,5.041097099432887
1356,"Mesquite City (Central & Southeast) PUMA, TX",38606.18660224618,Personal financial advisors,474129.3939393939,110943.36940078795,4.960590155324989
1859,"Saginaw County PUMA, MI",38578.947888019124,Personal financial advisors,432592.4,110943.36940078795,5.109534290267313
896,"Hanford City PUMA, CA",38569.21202976378,"Lawyers, & judges, magistrates, & other judicial workers",253274.25,124478.50814810928,4.944341180172296
1790,"Rankin & Simpson Counties PUMA, MS",38568.437775061895,Dentists,339387.48514851485,127707.80053807772,5.150756709347548
32,"Alliance City PUMA, OH",38560.49972227873,Firstline supervisors of housekeeping & janitorial workers,437657.9090909091,30437.467101766862,5.018881040503607
935,"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, NY",38558.624305160694,Cardiovascular technologists and technicians,214776.5633802817,76805.666221549,5.183402915893519
765,"Fulton & Montgomery Counties PUMA, NY",38536.12777359002,Physicians,492329.1088888889,206831.79290917717,4.960617498257276
112,"Barron, Polk, Clark & Chippewa (North) Counties PUMA, WI",38526.41997863074,Physicians,444749.6,206831.79290917717,5.170617491052525
2340,"Wind River Reservation PUMA, WY",38516.25390475534,Physicians,243143.28455284552,206831.79290917717,5.020924558037124
2145,"Tempe City (North) PUMA, AZ",38500.20818833815,"Entertainers & performers, sports & related workers, all other",417395.9841897233,20966.251639698374,4.861552183783533
1386,"Milwaukee City (North Central) PUMA, WI",38487.720230693296,"Securities, commodities, & financial services sales agents",353392.42613636365,116457.02855852002,4.67614764335305
1429,"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA, IL",38486.165118190795,Other drafters,550111.6727272727,46485.453612793,5.208982329650316
180,"Billings City PUMA, MT",38484.533035306755,"Architects, except landscape and naval",391055.4434782609,77911.62260282584,4.849121860706086
1419,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA, IL",38468.57744595757,Physicians,272485.33220338984,206831.79290917717,5.256458685911667
886,"Hall County PUMA, GA",38455.6547298925,"Bus drivers, transit and intercity",477168.6923076923,31058.899701309867,5.268584499950217
1128,"LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, CA",38452.23745995342,"Other education, training, & library workers",572399.8048780488,37658.63625455013,4.901032460591648
1674,"Perry & Decatur (South & East) TownshipsIndianapolis City (South) PUMA, IN",38448.43720505045,Respiratory therapists,417395.9555555555,51020.96436409805,4.973567020091282
2161,"Titusville, Rockledge & Cocoa Cities PUMA, FL",38439.51403867397,Aircraft pilots & flight engineers,302058.76923076925,115613.87787785068,5.171183803587757
595,"Downriver Area (North) PUMA, MI",38433.8614756883,Physicians,378258.1542288557,206831.79290917717,4.790339040610728
1319,"Massillon City PUMA, OH",38427.96402721503,Architectural & engineering managers,167161.0,134098.2588754237,5.196229637670842
1479,"New Haven Town PUMA, CT",38426.28182127258,Cardiovascular technologists and technicians,334322.0,76805.666221549,4.991427200148129
1044,"Jackson County PUMA, MI",38415.95921348862,Coaches and scouts,432592.4,23108.58017214645,4.957355246039341
1847,"Roy, North Ogden, Ogden (Northwest) & West Haven Cities PUMA, UT",38414.56925468038,Personal financial advisors,212142.524,110943.36940078795,5.156306391705084
2376,"Yuba City PUMA, CA",38412.11770465094,Surgeons,572399.8181818182,282720.32402206364,4.995145525835707
832,"Greater Boynton Beach City (North) PUMA, FL",38408.129626273825,Aircraft pilots & flight engineers,253274.2549019608,115613.87787785068,5.102836626003262
1579,"Okaloosa County PUMA, FL",38388.76142219055,"Lawyers, & judges, magistrates, & other judicial workers",255253.8735632184,124478.50814810928,5.242411926298814
1009,"Ingham County (South & East) PUMA, MI",38382.54284975052,Personal financial advisors,432592.4045801527,110943.36940078795,5.037851674588837
1596,"Ontario City PUMA, CA",38373.56742707316,Public safety telecommunicators,136768.08695652173,39323.02896738144,5.198606940629954
1192,"Laramie & Albany Counties PUMA, WY",38351.75526251658,Physicians,194429.7931034483,206831.79290917717,5.029707400975889
2196,"Turlock, Riverbank, Oakdale & Waterford Cities PUMA, CA",38350.21893633509,Paramedics,243143.27564102568,52015.679790635775,4.909809176675507
2047,"Springfield City (South) PUMA, MO",38347.84745095482,Surgeons,421448.3421052632,282720.32402206364,4.768995706787425
955,"Hillsborough County (South County) PUMA, FL",38343.91226640315,Physicians,166186.63782696176,206831.79290917717,5.401740856476478
638,"Eau Claire & Chippewa (South) Counties PUMA, WI",38343.753953487074,Nurse anesthetists,444749.5882352941,137847.88905761446,5.019558375511687
1045,"Jackson County PUMA, MS",38333.29779454318,Database administrators and architects,339387.512195122,79421.41349617914,4.901788855815611
847,"Greater Pinellas Park City PUMA, FL",38322.9037244428,Chief executives & legislators,202619.40277777775,141283.83645852594,5.133643201188139
1472,"New Bedford City & Fairhaven Town PUMA, MA",38303.24000624428,Nurse anesthetists,181344.35185185185,137847.88905761446,5.066426674267753
